chave_coluna_lista,nivel_linha,campo_api_frontend,campo_prisma_pedido,campo_prisma_item,campo_propagacao_pai,tabela_postgres,tipo_prisma,tipo_comportamento_lista,grupo_coluna_lista,label_cabecalho_tela,tooltip_titulo_tela,armazenamento_banco,back_patch_campo,origem_dado
,item,,,data_meta_envio_original_proforma_item,data_meta_envio_original_proforma_pedido,pedido_item,DateTime,,,,,coluna_prisma_sem_lista,data_meta_envio_original_proforma_item,somente_prisma
,item,,,data_meta_inspecao_item,data_meta_inspecao_pedido,pedido_item,DateTime,,,Data Meta — Inspecao (Item),,coluna_prisma_sem_lista,data_meta_inspecao_item,somente_prisma
,item,,,data_meta_item_pronto,data_meta_pedido_pronto,pedido_item,DateTime,,,Data Meta — Item Pronto,,coluna_prisma_sem_lista,data_meta_item_pronto,somente_prisma
data_meta_recebimento_draft_cert_origem,item,data_meta_recebimento_draft_cert_origem,,dados_extras_importacao_item,,pedido_item,Json,,DUIMP / Fiscal,,,json_chave_dados_extras_importacao_item,data_meta_recebimento_draft_cert_origem,lista_gtv
data_meta_recebimento_original_cert_origem,item,data_meta_recebimento_original_cert_origem,,dados_extras_importacao_item,,pedido_item,Json,,DUIMP / Fiscal,,,json_chave_dados_extras_importacao_item,data_meta_recebimento_original_cert_origem,lista_gtv
,item,,,data_meta_recebimento_original_invoice_item,data_meta_recebimento_original_invoice_pedido,pedido_item,DateTime,,,,,coluna_prisma_sem_lista,data_meta_recebimento_original_invoice_item,somente_prisma
,item,,,data_meta_recebimento_original_proforma_item,data_meta_recebimento_original_proforma_pedido,pedido_item,DateTime,,,,,coluna_prisma_sem_lista,data_meta_recebimento_original_proforma_item,somente_prisma
,item,,,data_meta_recebimento_rascunho_invoice_item,data_meta_recebimento_rascunho_invoice_pedido,pedido_item,DateTime,,,,,coluna_prisma_sem_lista,data_meta_recebimento_rascunho_invoice_item,somente_prisma
,item,,,data_meta_recebimento_rascunho_item,data_meta_recebimento_rascunho_pedido,pedido_item,DateTime,,,,,coluna_prisma_sem_lista,data_meta_recebimento_rascunho_item,somente_prisma
,item,,,data_meta_recebimento_rascunho_proforma_item,data_meta_recebimento_rascunho_proforma_pedido,pedido_item,DateTime,,,,,coluna_prisma_sem_lista,data_meta_recebimento_rascunho_proforma_item,somente_prisma
data_meta_registro_lpco,item,data_meta_registro_lpco,,dados_extras_importacao_item,,pedido_item,Json,,DUIMP / Fiscal,,,json_chave_dados_extras_importacao_item,data_meta_registro_lpco,lista_gtv
data_meta_resultado_analise_lpco,item,data_meta_resultado_analise_lpco,,dados_extras_importacao_item,,pedido_item,Json,,DUIMP / Fiscal,,,json_chave_dados_extras_importacao_item,data_meta_resultado_analise_lpco,lista_gtv
,item,,,data_previsao_aprovacao_rascunho_invoice_item,data_previsao_aprovacao_rascunho_invoice_pedido,pedido_item,DateTime,,,,,coluna_prisma_sem_lista,data_previsao_aprovacao_rascunho_invoice_item,somente_prisma
,item,,,data_previsao_aprovacao_rascunho_item,data_previsao_aprovacao_rascunho_pedido,pedido_item,DateTime,,,,,coluna_prisma_sem_lista,data_previsao_aprovacao_rascunho_item,somente_prisma
,item,,,data_previsao_aprovacao_rascunho_proforma_item,data_previsao_aprovacao_rascunho_proforma_pedido,pedido_item,DateTime,,,,,coluna_prisma_sem_lista,data_previsao_aprovacao_rascunho_proforma_item,somente_prisma
,item,,,data_previsao_envio_original_invoice_item,data_previsao_envio_original_invoice_pedido,pedido_item,DateTime,,,,,coluna_prisma_sem_lista,data_previsao_envio_original_invoice_item,somente_prisma
,item,,,data_previsao_envio_original_proforma_item,data_previsao_envio_original_proforma_pedido,pedido_item,DateTime,,,,,coluna_prisma_sem_lista,data_previsao_envio_original_proforma_item,somente_prisma
,item,,,data_previsao_recebimento_original_invoice_item,data_previsao_recebimento_original_invoice_pedido,pedido_item,DateTime,,,,,coluna_prisma_sem_lista,data_previsao_recebimento_original_invoice_item,somente_prisma
